11/1983-10/2011,Average (x 12),Betas HML,Betas RX,Predicted,,Average,Betas RX,Betas Vol,Predicted,Predicted (x12)
Portfolio1,-1.44%,-0.39,1.03,-0.60%,,-0.12%,0.99,0.21,0.03%,0.41%
Portfolio2,0.29%,-0.12,0.93,1.38%,,0.02%,0.92,0.14,0.08%,0.98%
Portfolio3,1.54%,-0.13,0.97,1.44%,,0.13%,0.95,0.07,0.14%,1.72%
Portfolio4,3.91%,-0.01,0.97,2.42%,,0.33%,0.97,-0.01,0.21%,2.57%
Portfolio5,4.25%,0.03,1.08,3.06%,,0.35%,1.09,0.06,0.19%,2.22%
Portfolio6,6.91%,0.61,1.03,7.75%,,0.58%,1.08,-0.47,0.64%,7.71%
RX,2.58%,,,,,,Prices of risk,,,
HML,8.35%,,,,,,-0.00862904178489703,0.00216887013523118,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
11/1983-9/2019,Average (x 12),Betas HML,Betas RX,Predicted,,Average,Betas RX,Betas Vol,Predicted,Predicted (x12)
Portfolio1,-1.92%,-0.39,1.04,-0.59%,,-0.16%,0.99,0.25,-0.06%,-0.73%
Portfolio2,-0.51%,-0.13,0.92,1.30%,,-0.04%,0.90,0.12,0.03%,0.31%
Portfolio3,0.91%,-0.12,0.95,1.43%,,0.08%,0.93,0.05,0.08%,0.98%
Portfolio4,2.38%,-0.01,0.99,2.50%,,0.20%,0.99,-0.02,0.15%,1.80%
Portfolio5,3.23%,0.04,1.07,3.05%,,0.27%,1.08,0.05,0.10%,1.21%
Portfolio6,5.31%,0.61,1.04,7.76%,,0.44%,1.12,-0.46,0.50%,5.98%
RX,1.56%,,,,,,Prices of risk,,,
HML,7.23%,,,,,,-0.00761554273677459,0.00132727889592369,,
