Dates,US BBB
1/31/1995,1.94%
2/28/1995,2.51%
3/31/1995,1.31%
4/30/1995,1.59%
5/31/1995,4.54%
6/30/1995,1.03%
7/31/1995,-0.37%
8/31/1995,1.52%
9/30/1995,1.11%
10/31/1995,1.38%
11/30/1995,1.66%
12/31/1995,1.77%
1/31/1996,0.62%
2/29/1996,-2.15%
3/31/1996,-0.66%
4/30/1996,-0.92%
5/31/1996,-0.01%
6/30/1996,1.42%
7/31/1996,0.26%
8/31/1996,-0.27%
9/30/1996,2.07%
10/31/1996,2.69%
11/30/1996,2.25%
12/31/1996,-1.25%
1/31/1997,0.21%
2/28/1997,0.34%
3/31/1997,-1.30%
4/30/1997,1.62%
5/31/1997,0.99%
6/30/1997,1.60%
7/31/1997,3.86%
8/31/1997,-1.51%
9/30/1997,1.89%
10/31/1997,1.59%
11/30/1997,0.26%
12/31/1997,1.21%
1/31/1998,1.11%
2/28/1998,-0.15%
3/31/1998,0.47%
4/30/1998,0.49%
5/31/1998,1.35%
6/30/1998,0.83%
7/31/1998,-0.23%
8/31/1998,-0.77%
9/30/1998,3.14%
10/31/1998,-1.53%
11/30/1998,1.61%
12/31/1998,0.62%
1/31/1999,1.35%
2/28/1999,-2.42%
3/31/1999,1.23%
4/30/1999,0.60%
5/31/1999,-1.40%
6/30/1999,-0.56%
7/31/1999,-0.52%
8/31/1999,-0.38%
9/30/1999,1.01%
10/31/1999,0.20%
11/30/1999,0.27%
12/31/1999,-0.13%
1/31/2000,-0.21%
2/29/2000,0.65%
3/31/2000,0.74%
4/30/2000,-1.81%
5/31/2000,-0.63%
6/30/2000,2.95%
7/31/2000,1.32%
8/31/2000,1.25%
9/30/2000,0.54%
10/31/2000,-0.53%
11/30/2000,1.34%
12/31/2000,1.77%
1/31/2001,2.91%
2/28/2001,1.02%
3/31/2001,0.67%
4/30/2001,-0.70%
5/31/2001,1.27%
6/30/2001,0.45%
7/31/2001,2.91%
8/31/2001,1.12%
9/30/2001,-0.35%
10/31/2001,2.33%
11/30/2001,-0.95%
12/31/2001,-0.58%
1/31/2002,0.46%
2/28/2002,0.37%
3/31/2002,-1.90%
4/30/2002,0.43%
5/31/2002,1.14%
6/30/2002,-0.89%
7/31/2002,-1.47%
8/31/2002,3.15%
9/30/2002,1.33%
10/31/2002,-1.27%
11/30/2002,2.43%
12/31/2002,3.30%
1/31/2003,0.53%
2/28/2003,2.20%
3/31/2003,0.25%
4/30/2003,2.79%
5/31/2003,3.48%
6/30/2003,-0.11%
7/31/2003,-4.17%
8/31/2003,1.07%
9/30/2003,3.81%
10/31/2003,-1.00%
11/30/2003,0.73%
12/31/2003,1.60%
1/31/2004,1.16%
2/29/2004,1.15%
3/31/2004,1.01%
4/30/2004,-3.08%
5/31/2004,-0.77%
6/30/2004,0.52%
7/31/2004,1.31%
8/31/2004,2.44%
9/30/2004,0.65%
10/31/2004,1.10%
11/30/2004,-0.95%
12/31/2004,1.62%
1/31/2005,0.78%
2/28/2005,-0.54%
3/31/2005,-1.70%
4/30/2005,0.86%
5/31/2005,1.31%
6/30/2005,0.97%
7/31/2005,-0.81%
8/31/2005,1.58%
9/30/2005,-1.78%
10/31/2005,-1.14%
11/30/2005,0.50%
12/31/2005,1.02%
1/31/2006,-0.14%
2/28/2006,0.55%
3/31/2006,-1.43%
4/30/2006,-0.39%
5/31/2006,-0.17%
6/30/2006,-0.02%
7/31/2006,1.56%
8/31/2006,1.98%
9/30/2006,1.11%
10/31/2006,0.92%
11/30/2006,1.56%
12/31/2006,-1.00%
1/31/2007,0.16%
2/28/2007,2.23%
3/31/2007,-0.62%
4/30/2007,0.85%
5/31/2007,-0.93%
6/30/2007,-0.59%
7/31/2007,-0.04%
8/31/2007,1.09%
9/30/2007,0.57%
10/31/2007,1.21%
11/30/2007,0.64%
12/31/2007,-0.20%
1/31/2008,0.79%
2/29/2008,-0.38%
3/31/2008,-1.22%
4/30/2008,0.83%
5/31/2008,-0.65%
6/30/2008,-0.21%
7/31/2008,-0.88%
8/31/2008,0.68%
9/30/2008,-5.28%
10/31/2008,-10.99%
11/30/2008,2.59%
12/31/2008,3.94%
1/31/2009,2.70%
2/28/2009,-0.77%
3/31/2009,0.47%
4/30/2009,4.05%
5/31/2009,5.51%
6/30/2009,4.07%
7/31/2009,4.58%
8/31/2009,2.64%
9/30/2009,2.42%
10/31/2009,0.89%
11/30/2009,1.78%
12/31/2009,-0.48%
1/31/2010,2.39%
2/28/2010,0.47%
3/31/2010,0.61%
4/30/2010,2.01%
5/31/2010,-1.03%
6/30/2010,1.83%
7/31/2010,2.30%
8/31/2010,2.21%
9/30/2010,0.85%
10/31/2010,0.53%
11/30/2010,-0.76%
12/31/2010,-0.95%
1/31/2011,0.42%
2/28/2011,0.80%
3/31/2011,0.21%
4/30/2011,1.77%
